#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,mean,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,location,phase,source
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T12:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T13:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T13:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T14:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T14:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T15:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T15:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T16:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T16:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T17:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T18:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T19:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T19:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T20:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T20:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T21:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T21:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T22:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T22:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T23:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T23:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T00:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T00:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T01:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T01:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T08:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T08:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T09:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T09:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T10:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T10:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T11:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T11:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T12:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T12:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T13:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T13:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T14:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T14:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T15:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T15:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend
,,2,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,0,power_active_kw,energy_per_phase,AI205,unknown,L3,mqtt_backend

